"gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"1" "of" "the" 1435 1858 576
"2" "in" "the" 1379 1452 739
"3" "to" "the" 679 808 456
"4" "on" "the" 594 687 476
"5" "for" "the" 553 530 764
"6" "at" "the" 458 459 397
"7" "and" "the" 427 548 156
"8" "in" "a" 416 482 245
"9" "with" "the" 368 430 166
"10" "to" "be" 327 696 500
"11" "from" "the" 284 386 129
"12" "with" "a" 269 335 151
"13" "he" "said" 259 46 14
"14" "of" "a" 246 315 108
"15" "will" "be" 243 251 276
"16" "for" "a" 237 327 302
"17" "is" "a" 237 445 249
"18" "as" "a" 236 290 104
"19" "by" "the" 235 261 63
"20" "that" "the" 227 324 77
"21" "more" "than" 213 106 53
"22" "and" "a" 212 216 94
"23" "it" "was" 211 499 221
"24" "to" "a" 199 181 120
"25" "the" "first" 195 200 99
"26" "go" "to" 194 302 491
"27" "he" "was" 190 150 39
"28" "the" "state" 186 31 16
"29" "want" "to" 186 401 347
"30" "one" "of" 175 320 151
"31" "has" "been" 174 158 65
"32" "said" "the" 165 23 7
"33" "out" "of" 162 224 146
"34" "is" "the" 161 304 251
"35" "as" "the" 159 169 28
"36" "the" "citi" 158 50 29
"37" "was" "a" 155 278 126
"38" "accord" "to" 141 58 16
"39" "tri" "to" 141 226 189
"40" "said" "he" 139 14 10
"41" "it" "is" 135 474 190
"42" "have" "been" 130 241 76
"43" "to" "get" 127 242 253
"44" "have" "to" 126 283 245
"45" "on" "a" 124 193 133
"46" "over" "the" 124 143 50
"47" "about" "the" 122 184 92
"48" "at" "a" 121 98 45
"49" "last" "year" 121 38 23
"50" "that" "he" 121 113 25
"51" "to" "make" 121 219 108
"52" "a" "lot" 120 187 123
"53" "would" "be" 118 166 106
"54" "be" "a" 115 206 188
"55" "into" "the" 113 155 39
"56" "the" "same" 113 206 120
"57" "to" "do" 113 273 170
"58" "was" "the" 113 121 61
"59" "she" "said" 112 25 15
"60" "part" "of" 111 138 58
"61" "lot" "of" 107 187 95
"62" "have" "a" 106 271 400
"63" "it" "a" 105 131 154
"64" "of" "his" 104 67 21
"65" "but" "the" 100 111 38
"66" "need" "to" 100 221 253
"67" "this" "is" 100 290 154
"68" "we" "have" 100 129 81
"69" "a" "new" 99 103 104
"70" "if" "you" 99 300 319
"71" "a" "littl" 98 226 102
"72" "i" "think" 97 218 253
"73" "the" "new" 97 75 101
"74" "to" "have" 97 161 109
"75" "and" "other" 95 57 11
"76" "a" "few" 92 247 91
"77" "after" "the" 92 65 19
"78" "said" "it" 92 22 15
"79" "this" "year" 92 65 57
"80" "the" "compani" 91 20 8
"81" "the" "us" 91 41 21
"82" "i" "was" 90 476 275
"83" "in" "his" 90 102 20
"84" "new" "york" 90 43 32
"85" "the" "last" 90 108 77
"86" "there" "are" 90 170 53
"87" "and" "it" 89 186 87
"88" "but" "it" 88 147 94
"89" "and" "i" 87 501 215
"90" "of" "it" 85 113 40
