"gram1" "gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"1" "the" "rest" "of" "the" 20 29 11
"2" "the" "end" "of" "the" 19 29 16
"3" "for" "the" "first" "time" 18 20 16
"4" "in" "the" "unit" "state" 18 6 5
"5" "at" "the" "end" "of" 16 21 16
"6" "at" "the" "same" "time" 16 23 14
"7" "by" "the" "end" "of" 12 7 4
"8" "is" "one" "of" "the" 12 19 7
"9" "when" "it" "come" "to" 12 20 9
"10" "will" "be" "abl" "to" 11 5 5
"11" "go" "to" "be" "a" 9 9 19
"12" "one" "of" "the" "most" 9 17 11
"13" "the" "bottom" "of" "the" 9 10 3
"14" "in" "the" "middl" "of" 8 11 11
"15" "one" "of" "the" "best" 8 5 10
"16" "a" "lot" "of" "peopl" 7 3 8
"17" "for" "a" "long" "time" 7 5 2
"18" "on" "the" "other" "hand" 7 14 2
"19" "turn" "out" "to" "be" 7 14 6
"20" "a" "member" "of" "the" 6 5 2
"21" "find" "a" "way" "to" 6 3 5
"22" "go" "to" "have" "to" 6 4 3
"23" "it" "go" "to" "be" 6 3 16
"24" "there" "will" "be" "a" 6 4 3
"25" "to" "be" "abl" "to" 6 24 6
"26" "to" "come" "up" "with" 6 5 2
"27" "have" "a" "chanc" "to" 5 3 2
"28" "i" "just" "want" "to" 5 6 12
"29" "in" "new" "york" "citi" 5 8 2
"30" "is" "go" "to" "be" 5 13 27
"31" "the" "begin" "of" "the" 5 7 4
"32" "the" "middl" "of" "the" 5 7 4
"33" "to" "the" "point" "where" 5 6 2
"34" "what" "do" "you" "think" 5 11 9
"35" "a" "bit" "of" "a" 4 17 2
"36" "a" "coupl" "of" "hour" 4 5 2
"37" "a" "littl" "bit" "of" 4 13 2
"38" "be" "a" "part" "of" 4 4 7
"39" "end" "of" "the" "year" 4 4 2
"40" "i" "dont" "know" "what" 4 4 12
"41" "i" "dont" "want" "to" 4 11 14
"42" "i" "want" "to" "be" 4 15 7
"43" "i" "would" "like" "to" 4 15 8
"44" "in" "the" "bottom" "of" 4 2 2
"45" "in" "the" "midst" "of" 4 6 2
"46" "may" "or" "may" "not" 4 6 2
"47" "of" "one" "of" "the" 4 2 2
"48" "the" "first" "time" "in" 4 6 6
"49" "the" "front" "of" "the" 4 2 3
"50" "to" "find" "a" "way" 4 4 2
"51" "to" "get" "out" "of" 4 6 4
"52" "to" "get" "rid" "of" 4 3 2
"53" "a" "coupl" "of" "week" 3 13 2
"54" "a" "part" "of" "the" 3 3 5
"55" "and" "i" "want" "to" 3 10 2
"56" "and" "the" "rest" "of" 3 4 2
"57" "as" "much" "as" "i" 3 8 2
"58" "at" "the" "bottom" "of" 3 7 2
"59" "be" "one" "of" "the" 3 4 2
"60" "but" "i" "dont" "think" 3 4 4
"61" "day" "of" "the" "week" 3 3 2
"62" "for" "a" "coupl" "of" 3 8 3
"63" "for" "the" "most" "part" 3 2 4
"64" "for" "the" "rest" "of" 3 6 10
"65" "game" "of" "the" "season" 3 2 3
"66" "get" "a" "lot" "of" 3 3 2
"67" "i" "didnt" "want" "to" 3 11 3
"68" "i" "dont" "know" "if" 3 8 7
"69" "i" "dont" "know" "whi" 3 7 5
"70" "i" "need" "to" "do" 3 5 4
"71" "i" "want" "to" "do" 3 4 8
"72" "if" "you" "have" "a" 3 10 5
"73" "im" "not" "go" "to" 3 5 5
"74" "in" "and" "out" "of" 3 10 4
"75" "in" "front" "of" "the" 3 8 4
"76" "in" "the" "form" "of" 3 6 2
"77" "in" "the" "near" "futur" 3 3 5
"78" "just" "a" "littl" "bit" 3 4 3
"79" "on" "the" "way" "to" 3 2 4
"80" "take" "the" "time" "to" 3 7 3
"81" "the" "back" "of" "the" 3 10 2
"82" "the" "name" "of" "the" 3 5 5
"83" "the" "onli" "one" "who" 3 4 8
"84" "the" "onli" "thing" "that" 3 3 2
"85" "the" "state" "of" "the" 3 2 2
"86" "there" "are" "lot" "of" 3 4 2
"87" "there" "are" "so" "mani" 3 5 4
"88" "to" "do" "with" "the" 3 5 2
"89" "to" "keep" "up" "with" 3 6 2
"90" "were" "go" "to" "be" 3 2 4
"91" "what" "to" "do" "with" 3 3 3
"92" "you" "dont" "have" "to" 3 3 3
"93" "a" "big" "fan" "of" 2 4 4
"94" "a" "few" "year" "ago" 2 6 2
"95" "a" "lot" "of" "fun" 2 6 4
"96" "a" "lot" "of" "time" 2 11 2
"97" "about" "the" "fact" "that" 2 2 2
"98" "and" "i" "had" "to" 2 6 3
"99" "are" "go" "to" "be" 2 2 6
"100" "as" "part" "of" "the" 2 3 3
"101" "but" "i" "dont" "know" 2 2 2
"102" "come" "to" "an" "end" 2 5 2
"103" "did" "a" "great" "job" 2 3 2
"104" "dont" "know" "what" "the" 2 2 2
"105" "dont" "know" "whi" "i" 2 3 2
"106" "figur" "out" "how" "to" 2 7 4
"107" "for" "a" "few" "week" 2 2 2
"108" "go" "to" "be" "abl" 2 2 2
"109" "go" "to" "be" "the" 2 3 3
"110" "go" "to" "have" "a" 2 2 2
"111" "have" "a" "lot" "of" 2 4 4
"112" "i" "can" "tell" "you" 2 2 3
"113" "i" "dont" "have" "to" 2 5 8
"114" "i" "dont" "know" "how" 2 7 7
"115" "i" "think" "this" "is" 2 5 2
"116" "i" "was" "go" "to" 2 16 10
"117" "if" "you" "dont" "know" 2 4 2
