"gram2" "gram3" "target" "newsFreq" "blogFreq" "twitterFreq"
"1" "one" "of" "the" 102 146 52
"2" "a" "lot" "of" 85 126 58
"3" "out" "of" "the" 53 66 25
"4" "in" "the" "first" 47 23 8
"5" "part" "of" "the" 45 50 23
"6" "as" "well" "as" 44 63 14
"7" "the" "unit" "state" 43 20 6
"8" "the" "end" "of" 42 55 35
"9" "go" "to" "be" 40 49 85
"10" "be" "abl" "to" 38 68 31
"11" "to" "be" "a" 37 83 52
"12" "some" "of" "the" 35 61 18
"13" "it" "was" "a" 34 61 34
"14" "member" "of" "the" 33 21 3
"15" "of" "the" "season" 29 4 9
"16" "a" "coupl" "of" 28 69 13
"17" "the" "rest" "of" 28 51 28
"18" "becaus" "of" "the" 27 19 2
"19" "more" "than" "a" 27 21 3
"20" "a" "littl" "bit" 26 28 13
"21" "at" "the" "time" 25 32 2
"22" "end" "of" "the" 25 39 20
"23" "this" "is" "a" 25 56 21
"24" "as" "much" "as" 24 25 6
"25" "for" "the" "first" 24 30 21
"26" "in" "the" "citi" 24 11 6
"27" "of" "the" "year" 24 23 17
"28" "the" "fact" "that" 23 52 21
"29" "the" "first" "time" 22 30 28
"30" "to" "make" "sure" 22 16 3
"31" "accord" "to" "a" 21 4 2
"32" "i" "want" "to" 21 114 83
"33" "in" "the" "second" 21 6 2
"34" "is" "go" "to" 21 29 48
"35" "it" "was" "the" 21 18 8
"36" "it" "would" "be" 21 38 21
"37" "most" "of" "the" 21 34 7
"38" "the" "univers" "of" 21 7 4
"39" "you" "have" "to" 21 42 38
"40" "a" "way" "to" 20 13 11
"41" "all" "of" "the" 20 44 16
"42" "he" "was" "a" 20 15 3
"43" "is" "one" "of" 20 39 15
"44" "look" "at" "the" 20 22 11
"45" "rest" "of" "the" 20 30 14
"46" "this" "is" "the" 20 43 19
"47" "to" "have" "a" 20 25 24
"48" "at" "the" "end" 19 30 17
"49" "half" "of" "the" 19 8 5
"50" "new" "york" "citi" 19 9 5
"51" "they" "want" "to" 19 8 6
"52" "in" "the" "unit" 18 8 5
"53" "said" "he" "was" 18 3 2
"54" "the" "number" "of" 18 11 7
"55" "there" "is" "a" 18 46 19
"56" "there" "will" "be" 18 19 6
"57" "up" "in" "the" 18 21 7
"58" "were" "go" "to" 18 11 8
"59" "will" "be" "the" 18 7 6
"60" "a" "chanc" "to" 17 12 13
"61" "at" "the" "same" 17 26 17
"62" "base" "on" "the" 17 9 6
"63" "have" "to" "be" 17 22 25
"64" "i" "dont" "know" 17 52 52
"65" "in" "the" "past" 17 17 12
"66" "in" "the" "state" 17 4 2
"67" "in" "the" "us" 17 14 11
"68" "we" "need" "to" 17 21 28
"69" "appear" "to" "be" 16 10 3
"70" "back" "to" "the" 16 35 13
"71" "in" "the" "s" 16 14 4
"72" "over" "the" "last" 16 8 2
